epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1602.66,0.21639,1.42226,0.95196,0.98865,0.88366,0.89409,0.86432,0.17102,0.52288,0.31674,0.000237859,0.000237859,0.000237859
2,3367.56,0.12261,0.55753,0.89912,0.98588,0.90036,0.91402,0.91306,0.10719,0.36067,0.27293,0.000381639,0.000381639,0.000381639
3,4744.26,0.10325,0.45342,0.89524,0.98541,0.93249,0.9608,0.96064,0.10477,0.29932,0.26653,0.000431171,0.000431171,0.000431171
4,6007.08,0.08449,0.37371,0.89229,0.99623,0.92264,0.92685,0.92685,0.06683,0.16693,0.24896,0.000289884,0.000289884,0.000289884
5,6991.72,0.06778,0.30996,0.88945,0.98633,0.98705,0.99376,0.99372,0.07375,0.18434,0.26065,0.000148512,0.000148512,0.000148512
