epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1159.98,0.05215,0.22329,0.8861,0.98487,0.96388,0.98945,0.98914,0.05747,0.14499,1.07123,0.000237859,0.000237859,0.000237859
2,2455.77,0.06253,0.24923,0.88803,0.97639,0.95419,0.9773,0.96563,0.185,0.3899,1.21309,0.000381639,0.000381639,0.000381639
3,3503.22,0.0621,0.24923,0.88902,0.95778,0.9329,0.96922,0.96876,0.08165,0.34707,1.07283,0.000431171,0.000431171,0.000431171
4,4472.36,0.05641,0.23354,0.88776,0.97394,0.94537,0.99216,0.99115,0.04273,0.18616,1.0539,0.000289884,0.000289884,0.000289884
5,5377.85,0.04798,0.21891,0.88639,0.97831,0.97145,0.99021,0.99021,0.05678,0.14585,1.0581,0.000148512,0.000148512,0.000148512
