epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.74,0.0445,0.18761,0.88472,0.98338,0.9601,0.9796,0.97921,0.11659,0.24447,1.07906,0.000237859,0.000237859,0.000237859
2,2289.43,0.05232,0.20467,0.88619,0.97422,0.95582,0.99204,0.9621,0.15547,0.45023,1.16503,0.000381639,0.000381639,0.000381639
3,3219.71,0.05381,0.21096,0.8874,0.98463,0.94327,0.97487,0.97365,0.05563,0.26204,1.07026,0.000431171,0.000431171,0.000431171
4,4063.4,0.04915,0.20206,0.88641,0.98971,0.98961,0.9948,0.99479,0.05045,0.1202,1.05375,0.000289884,0.000289884,0.000289884
5,4841.23,0.0419,0.19018,0.8853,0.97376,0.98231,0.99426,0.99422,0.08676,0.19078,1.08907,0.000148512,0.000148512,0.000148512
