epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1172.38,0.04398,0.18634,0.88475,0.97874,0.96474,0.98829,0.98827,0.0673,0.20599,1.0554,0.000237859,0.000237859,0.000237859
2,2523.9,0.05266,0.20167,0.88635,0.96591,0.93136,0.97652,0.97618,0.07469,0.29576,1.08373,0.000381639,0.000381639,0.000381639
3,3549.95,0.05213,0.20239,0.88712,0.9749,0.97614,0.98474,0.98464,0.06734,0.18274,1.06055,0.000431171,0.000431171,0.000431171
4,4454.92,0.04885,0.19852,0.88646,0.98097,0.98901,0.99467,0.99461,0.07159,0.13725,1.07481,0.000289884,0.000289884,0.000289884
5,5346.97,0.04192,0.19311,0.88546,0.99183,0.99129,0.99487,0.99401,0.05968,0.1315,1.06718,0.000148512,0.000148512,0.000148512
