epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1173.47,0.05685,0.24067,0.88724,0.96067,0.96727,0.98121,0.97083,0.13012,0.27938,1.10148,0.000237859,0.000237859,0.000237859
2,2526.26,0.06669,0.2678,0.88909,0.98559,0.92697,0.95806,0.95799,0.05961,0.24806,1.07168,0.000381639,0.000381639,0.000381639
3,3546.93,0.06553,0.26236,0.88958,0.98311,0.96292,0.9839,0.98382,0.08099,0.20493,1.07352,0.000431171,0.000431171,0.000431171
4,4467.28,0.05977,0.24934,0.8884,0.9835,0.96984,0.99293,0.99287,0.0491,0.13626,1.04629,0.000289884,0.000289884,0.000289884
5,5342,0.04965,0.22379,0.88677,0.97564,0.98198,0.99274,0.99108,0.06118,0.15085,1.05051,0.000148512,0.000148512,0.000148512
