epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,682.433,0.04398,0.18634,0.88475,0.97884,0.97105,0.99318,0.99316,0.0673,0.20599,1.0554,0.000237859,0.000237859,0.000237859
2,1396.73,0.05266,0.20167,0.88635,0.96591,0.93136,0.97652,0.97618,0.07469,0.29576,1.08373,0.000381639,0.000381639,0.000381639
3,2099.11,0.05213,0.20239,0.88712,0.9749,0.97614,0.98474,0.98464,0.06734,0.18274,1.06055,0.000431171,0.000431171,0.000431171
