epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.73,0.06026,0.25337,0.88808,0.98371,0.97808,0.9916,0.9834,0.16105,0.24695,1.12613,0.000237859,0.000237859,0.000237859
2,2383.71,0.07103,0.28926,0.89004,0.96147,0.93622,0.9667,0.96344,0.10931,0.28832,1.06286,0.000381639,0.000381639,0.000381639
3,3381.15,0.07172,0.28758,0.89088,0.96094,0.95578,0.99108,0.99011,0.09198,0.2305,1.06764,0.000431171,0.000431171,0.000431171
4,4287.11,0.06273,0.26587,0.88915,0.98721,0.98495,0.99477,0.99353,0.0981,0.24091,1.11468,0.000289884,0.000289884,0.000289884
5,5153.06,0.05181,0.22987,0.88724,0.92332,0.93804,0.97204,0.96295,0.15033,0.65931,1.13618,0.000148512,0.000148512,0.000148512
