epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1265.25,0.04716,0.19861,0.88524,0.97036,0.93976,0.97328,0.97298,0.09381,0.26236,1.06499,0.000237859,0.000237859,0.000237859
2,2494.77,0.056,0.2135,0.88683,0.9659,0.96207,0.98144,0.9804,0.0694,0.21401,1.05831,0.000381639,0.000381639,0.000381639
3,3990.18,0.05675,0.22087,0.88779,0.91515,0.84612,0.87067,0.86937,0.09177,0.47376,1.10178,0.000431171,0.000431171,0.000431171
4,5232.73,0.05057,0.20963,0.88656,0.97382,0.95827,0.98111,0.98106,0.076,0.23564,1.08031,0.000289884,0.000289884,0.000289884
5,6207.42,0.04365,0.20261,0.88568,0.97976,0.97174,0.98979,0.98914,0.11106,0.26999,1.13886,0.000148512,0.000148512,0.000148512
