epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1243.8,0.07213,0.31268,0.89002,0.97015,0.90183,0.96301,0.95194,0.19323,0.50881,0.35568,0.000237859,0.000237859,0.000237859
2,2499.43,0.08714,0.35516,0.89261,0.97178,0.96402,0.98798,0.98422,0.12879,0.31597,0.44517,0.000381639,0.000381639,0.000381639
3,3531.06,0.0828,0.33383,0.89271,0.974,0.95798,0.99076,0.99076,0.08671,0.25429,0.89568,0.000431171,0.000431171,0.000431171
4,4395.83,0.07129,0.29906,0.89086,0.97526,0.96817,0.99325,0.9932,0.059,0.18709,1.05184,0.000289884,0.000289884,0.000289884
5,5196.3,0.05778,0.24951,0.88868,0.98199,0.98098,0.9948,0.99468,0.07277,0.16925,1.06921,0.000148512,0.000148512,0.000148512
