epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1173.96,0.04722,0.19911,0.88516,0.97654,0.96081,0.98935,0.98758,0.13395,0.28651,1.08421,0.000237859,0.000237859,0.000237859
2,2402.5,0.05731,0.22684,0.8869,0.97824,0.97062,0.99155,0.98803,0.08186,0.25013,1.08652,0.000381639,0.000381639,0.000381639
3,3463.31,0.05903,0.23131,0.8884,0.97522,0.97174,0.9867,0.98651,0.04134,0.16293,1.0508,0.000431171,0.000431171,0.000431171
4,4427.88,0.05227,0.21704,0.88706,0.98519,0.98643,0.99482,0.99458,0.08445,0.208,1.08977,0.000289884,0.000289884,0.000289884
5,5386.85,0.04433,0.20021,0.88568,0.97314,0.98166,0.99137,0.9762,0.14731,0.37297,1.13774,0.000148512,0.000148512,0.000148512
